Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Neckline (product.metafields.shopify.neckline),Scarf/Shawl style (product.metafields.shopify.scarf-shawl-style),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status
ept-08b,EPT-8B RAME,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/6-min_7dbe364f-867f-4113-b16f-e0d84a796bb3.webp?v=1744957759,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-08b,EPT-8B RAME,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/1-min_5ac5bfaf-e0a1-40df-9202-6049b310f475.webp?v=1744957759,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-08b,EPT-8B RAME,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/2-min_6f6f531f-21ec-44be-b3bb-1a06c072914e.webp?v=1744957759,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-08b,EPT-8B RAME,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/5-min_cbf1fce2-2512-48be-9d9d-beac866b065d.webp?v=1744957778,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-08a,EPT-8A REVE,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/5-min_fc86dbcf-6ab8-4b6a-9948-73ca259b0a50.webp?v=1744957742,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-08a,EPT-8A REVE,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/4-min_26d5b2df-c5dc-426a-9fb2-5d63353eddaa.webp?v=1744957742,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-08a,EPT-8A REVE,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/3-min_a20da1e8-1515-453a-ab82-31d452d072b0.webp?v=1744957742,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-08a,EPT-8A REVE,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/6-min_202b266d-c310-46cb-a542-df8cebe747e0.webp?v=1744957737,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-08a,EPT-8A REVE,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/7-min_41d57463-9994-492d-9106-1f86b4522f3f.webp?v=1744957737,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-08a,EPT-8A REVE,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/1-min_f01c58d3-28d3-4cda-b003-be09b158db8d.webp?v=1744957737,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-08a,EPT-8A REVE,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/2-min_4625aaed-1a1b-4882-98b8-30d6b67b38c1.webp?v=1744957737,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ept-08a,EPT-8A REVE,"<p><strong>Type: </strong>2 Piece - Stitched</p>
<p><strong>Fabric:</strong> Lawn<br><b>Shirt: </b>Printed Lawn<b><br>Trouser: </b>Digital Printed Cambric</p>
<p><strong>Note:</strong> All pre-booking orders will be dispatched by <strong data-start=""48"" data-end=""62"">30th April</strong>!</p>",Elaf Premium,,ELAF PRET 2025,"EPT, New In",TRUE,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0251/1237/9470/files/5-min_fc86dbcf-6ab8-4b6a-9948-73ca259b0a50.webp?v=1744957742,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
